ID,Time,FD,NH4-N,Chla
C4,12,Control,0.057672503,0.49
L1,12,Low_density,0.078269825,1.85
L2,12,Low_density,0.057672503,1.83
L3,12,Low_density,0.088568486,2.01
L4,12,Low_density,0.088568486,1.67
H1,12,High_density,0.078269825,2.62
H2,12,High_density,0.067971164,2.32
H3,12,High_density,0.088568486,2.15
H4,12,High_density,0.098867147,2.09
C1,13,Control,0.036614173,0.78
C2,13,Control,0.036614173,0.56
C3,13,Control,0.056299213,0.85
C4,13,Control,0.028740157,0.65
L1,13,Low_density,0.064173228,1.98
L2,13,Low_density,0.068110236,1.9
L3,13,Low_density,0.083858268,2
L4,13,Low_density,0.064173228,1.6
H1,13,High_density,0.072047244,2.87
H2,13,High_density,0.07992126,2.65
H3,13,High_density,0.07992126,2.87
H4,13,High_density,0.068110236,2.32
C1,14,Control,0.07491021,0.8
C2,14,Control,0.07491021,0.65
C3,14,Control,0.07491021,0.92
C4,14,Control,0.07491021,0.7
L1,14,Low_density,0.03386352,2.5
L2,14,Low_density,0.085171883,1.78
L3,14,Low_density,0.064648538,1.87
L4,14,Low_density,0.044125192,1.87
H1,14,High_density,0.085171883,2.87
H2,14,High_density,0.07491021,2.56
H3,14,High_density,0.044125192,2.9
H4,14,High_density,0.064648538,2.56
C1,15,Control,0.023981728,0.66
C2,15,Control,0.043014846,0.89
C3,15,Control,0.054434716,0.92
C4,15,Control,0.046821469,0.9
L1,15,Low_density,0.065854587,1.99
L2,15,Low_density,0.050628093,1.71
L3,15,Low_density,0.062047963,1.92
L4,15,Low_density,0.065854587,2.16
H1,15,High_density,0.092500952,2.87
H2,15,High_density,0.069661211,2.62
H3,15,High_density,0.062047963,2.98
H4,15,High_density,0.054434716,3
